             r1x                 r1y                 r2x                 r2y                 r3x                 r3y                   t    
         -1.00000000          0.00000000          1.25495373          0.00000000          2.74504627          0.00000000          0.00000000
         -0.99999330         -0.00366034          1.25494532          0.00459356          2.74502788          0.01004781          0.01000000
         -0.99997320         -0.00732064          1.25492010          0.00918706          2.74497272          0.02009548          0.02000000
         -0.99993971         -0.01098083          1.25487807          0.01378043          2.74488077          0.03014289          0.03000000
         -0.99989282         -0.01464088          1.25481922          0.01837362          2.74475205          0.04018989          0.04000000
         -0.99983253         -0.01830073          1.25474356          0.02296657          2.74458655          0.05023635          0.05000000
         -0.99975884         -0.02196034          1.25465109          0.02755921          2.74438428          0.06028214          0.06000000
         -0.99967176         -0.02561965          1.25454181          0.03215147          2.74414525          0.07032712          0.07000000
         -0.99957129         -0.02927862          1.25441572          0.03674331          2.74386944          0.08037116          0.08000000
         -0.99945742         -0.03293720          1.25427282          0.04133466          2.74355687          0.09041412          0.09000000
         -0.99933017         -0.03659533          1.25411312          0.04592545          2.74320755          0.10045588          0.10000000
         -0.99918952         -0.04025298          1.25393661          0.05051562          2.74282147          0.11049628          0.11000000
         -0.99903549         -0.04391008          1.25374331          0.05510512          2.74239864          0.12053521          0.12000000
         -0.99886807         -0.04756660          1.25353321          0.05969388          2.74193907          0.13057252          0.13000000
         -0.99868727         -0.05122248          1.25330631          0.06428184          2.74144276          0.14060808          0.14000000
         -0.99849309         -0.05487767          1.25306262          0.06886894          2.74090972          0.15064175          0.15000000
         -0.99828553         -0.05853213          1.25280214          0.07345512          2.74033996          0.16067341          0.16000000
         -0.99806459         -0.06218581          1.25252488          0.07804031          2.73973348          0.17070292          0.17000000
         -0.99783028         -0.06583865          1.25223083          0.08262446          2.73909030          0.18073014          0.18000000
         -0.99758261         -0.06949061          1.25192001          0.08720750          2.73841041          0.19075493          0.19000000
         -0.99732156         -0.07314164          1.25159241          0.09178937          2.73769384          0.20077717          0.20000000
         -0.99704716         -0.07679168          1.25124805          0.09637001          2.73694059          0.21079673          0.21000000
         -0.99675940         -0.08044070          1.25088692          0.10094936          2.73615066          0.22081345          0.22000000
         -0.99645828         -0.08408864          1.25050903          0.10552736          2.73532408          0.23082722          0.23000000
         -0.99614381         -0.08773546          1.25011439          0.11010394          2.73446085          0.24083790          0.24000000
         -0.99581599         -0.09138110          1.24970299          0.11467905          2.73356098          0.25084535          0.25000000
         -0.99547484         -0.09502551          1.24927486          0.11925262          2.73262449          0.26084943          0.26000000
         -0.99512034         -0.09866866          1.24882998          0.12382460          2.73165139          0.27085003          0.27000000
         -0.99475252         -0.10231048          1.24836838          0.12839491          2.73064168          0.28084699          0.28000000
         -0.99437136         -0.10595093          1.24789005          0.13296351          2.72959539          0.29084019          0.29000000
         -0.99397688         -0.10958996          1.24739499          0.13753032          2.72851253          0.30082950          0.30000000
         -0.99356909         -0.11322752          1.24688323          0.14209529          2.72739312          0.31081477          0.31000000
